"District sanitaire","Sites de vaccination","Point GPS","Téléphone","Email","Jours d'ouverture","Horaires","Image","Infos utiles"
"Cocody","Centre Hospitalier Universitaire (CHU) de Cocody","5.3420,-3.9936","27 22 48 10 00",,"Lundi-Dimanche","24H/24","http://www.atoo.ci/wp-content/uploads/2019/10/CHU_de_Cocody.jpg","Le Centre hospitalier universitaire de Cocody, est un hôpital public de troisième niveau de référence inauguré en juin 1970, situé à Abidjan en Côte d'Ivoire.
Accessible aux personnes handicapées."
"Cocody","Centre Hospitalier Universitaire (CHU) d'Angré","5.40100,-3.95744","27 22 49 64 00","info@chuangre.ci","Lundi-Dimanche","24H/24","http://chuangre.ci/images/chu/photo-chu.jpg","Le 5ème établissement sanitaire du pays, le CHU d'Angré, propose une façon de prendre soin du grand public. Les ressources humaines ne sont pas en reste. Les praticiens, parmi les meilleurs du pays, sont disponibles au quotidien pour tous nos clients. Nos clients, c'est vous les patients et les parents des patients."
"Bingerville","Hôpital Général (HG) de Bingerville","5.36004,-3.88532","27 22 40 30 06",,"Lundi-Dimanche","24H/24","https://data354-public-assets.s3.eu-west-3.amazonaws.com/data.gouv.ci/images_vignettes/csu.jpg","L'hôpital général de Bingerville est situé à Bingerville plus précisément au quartier Blanchon. Nous procurons des soins de qualité et mettons le patient au cœur de nos services."
"Cocody","Lycée Classique de Cocody","5.33224,-4.00606","27 22 44 35 17",,"Lundi-Vendredi","7H30–16H","https://data354-public-assets.s3.eu-west-3.amazonaws.com/data.gouv.ci/images_vignettes/csu.jpg","Le lycée classique d’Abidjan est un établissement secondaire public ivoirien qui se situe le long de l’avenue Aka, dans la commune de Cocody. Ce lycée réputé aussi bien dans toute la Côte d’Ivoire que dans la sous-région pour la qualité de l’enseignement et des élèves1, fait partie des lycées d'excellence au même titre que l’EMPT de Bingerville, le lycée classique de Bouaké, lycée Sainte-Marie d'Abidjan et le lycée scientifique de Yamoussoukro."
"Bingerville","Service de Santé Scolaire et Universitaire (SSSU) de Bingerville","5.359301,-3.8845162","27 22 40 30 02",,"Lundi-Dimanche","24H/24","https://data354-public-assets.s3.eu-west-3.amazonaws.com/data.gouv.ci/images_vignettes/csu.jpg","Le SSU de Bingerville, anciennement appelé médico-scolaire, a été créé en 1977 et reçoit par an 19 mille malades."
"Cocody","Dispensaire urbain de Cocody (Siège du District)","5.338866763952778, -4.004632635601998","27 22 48 53 63 - 07 07 90 07 44",,"Lundi-Dimanche","24H/24","https://data354-public-assets.s3.eu-west-3.amazonaws.com/data.gouv.ci/images_vignettes/csu.jpg","Le dispensaire urbain de Cocody est un établissement public de santé situé à Cocody Danga entre la Cité Rouge et la poste de Cocody"
"Port-Bouët","Hôpital Général (HG) de Port-Bouët","5.26256,-3.96218","27 21 27 85 00",,"Lundi-Dimanche","24H/24","https://data354-public-assets.s3.eu-west-3.amazonaws.com/data.gouv.ci/images_vignettes/csu.jpg","L'hôpital général de Port-Bouët est un établissement public de santé situé en face de l'abattoir central, non loin du centre pilote des jeunes."
"Port-Bouët","Antenne de l'Institut National d'Hygiène Publique (INHP) de Port-Bouët","5.24064,-3.89594","21 58 72 73 - 21 58 72 78","Inhp.portbouet@live.fr","Lundi-Vendredi","7H30-17H","https://data354-public-assets.s3.eu-west-3.amazonaws.com/data.gouv.ci/images_vignettes/csu.jpg","L'antenne de l'Institut National de l'Hygiène Publique (INHP) de Port-Bouët comme toutes les autres antennes de l'INHP permet de faire des dépistages (VIH, IST), des traitements IST (gono, chaude pisse), des consultations et est un centre de vaccination internationale."
"Port-Bouët","Centre de Santé Urbain à base Communautaire (CSU COM) de Gonzagueville","5.240251461669845, -3.896186067214964","27 21 58 68 94",,"Lundi-Dimanche","24H/24","https://data354-public-assets.s3.eu-west-3.amazonaws.com/data.gouv.ci/images_vignettes/csu.jpg","Les centres de Santé urbains sont des structures sanitaires de proximité dispensant des soins de premier recours."
"Port-Bouët","Centre de Santé Municipal AKWABA derrière Wharf","5.240571840053876, -3.890665778768541","07 07 68 74 32",,"Lundi-Dimanche","24H/24","https://data354-public-assets.s3.eu-west-3.amazonaws.com/data.gouv.ci/images_vignettes/csu.jpg","Les centres de Santé municipaux sont des structures sanitaires de proximité dispensant des soins de premier recours."
